ts,occ,scenario,rep_num
921.3594749042453,24.0,base_r3s4i18s2,1
921.3594749042453,25.0,base_r3s4i18s2,1
921.612093210074,24.0,base_r3s4i18s2,1
921.612093210074,25.0,base_r3s4i18s2,1
922.0491117988812,24.0,base_r3s4i18s2,1
922.0491117988812,25.0,base_r3s4i18s2,1
922.427153726108,24.0,base_r3s4i18s2,1
922.427153726108,25.0,base_r3s4i18s2,1
922.8810137105805,24.0,base_r3s4i18s2,1
922.8810137105805,25.0,base_r3s4i18s2,1
923.0125702270873,24.0,base_r3s4i18s2,1
923.0125702270873,25.0,base_r3s4i18s2,1
925.1676901426916,24.0,base_r3s4i18s2,1
925.1676901426916,25.0,base_r3s4i18s2,1
926.1791270275329,24.0,base_r3s4i18s2,1
926.1791270275329,25.0,base_r3s4i18s2,1
926.4083539623383,24.0,base_r3s4i18s2,1
926.4083539623383,25.0,base_r3s4i18s2,1
926.4351459976621,24.0,base_r3s4i18s2,1
926.4351459976621,25.0,base_r3s4i18s2,1
926.6508836638624,24.0,base_r3s4i18s2,1
926.6508836638624,25.0,base_r3s4i18s2,1
927.2050548494914,24.0,base_r3s4i18s2,1
927.2050548494914,25.0,base_r3s4i18s2,1
927.9917081973831,24.0,base_r3s4i18s2,1
927.9917081973831,25.0,base_r3s4i18s2,1
928.1395745665457,24.0,base_r3s4i18s2,1
928.1395745665457,25.0,base_r3s4i18s2,1
928.6437584920618,24.0,base_r3s4i18s2,1
928.6437584920618,25.0,base_r3s4i18s2,1
930.3475720040182,24.0,base_r3s4i18s2,1
930.3475720040182,25.0,base_r3s4i18s2,1
931.3224218533551,24.0,base_r3s4i18s2,1
931.3224218533551,25.0,base_r3s4i18s2,1
931.8628498845826,24.0,base_r3s4i18s2,1
931.8628498845826,25.0,base_r3s4i18s2,1
932.2953997709358,24.0,base_r3s4i18s2,1
932.2953997709358,25.0,base_r3s4i18s2,1
932.8152613110994,24.0,base_r3s4i18s2,1
932.8152613110994,25.0,base_r3s4i18s2,1
933.6974085808919,24.0,base_r3s4i18s2,1
933.6974085808919,25.0,base_r3s4i18s2,1
934.3903851578078,24.0,base_r3s4i18s2,1
934.3903851578078,25.0,base_r3s4i18s2,1
934.4695092862399,24.0,base_r3s4i18s2,1
934.4695092862399,25.0,base_r3s4i18s2,1
935.5065082325427,24.0,base_r3s4i18s2,1
935.5065082325427,25.0,base_r3s4i18s2,1
936.7326816949342,24.0,base_r3s4i18s2,1
936.7326816949342,25.0,base_r3s4i18s2,1
936.8489338182754,24.0,base_r3s4i18s2,1
936.8489338182754,25.0,base_r3s4i18s2,1
937.7933844817038,24.0,base_r3s4i18s2,1
937.7933844817038,25.0,base_r3s4i18s2,1
937.8315833077279,24.0,base_r3s4i18s2,1
937.8315833077279,25.0,base_r3s4i18s2,1
938.373300642234,24.0,base_r3s4i18s2,1
938.373300642234,25.0,base_r3s4i18s2,1
938.3832128411609,24.0,base_r3s4i18s2,1
938.3832128411609,25.0,base_r3s4i18s2,1
938.5847955873751,24.0,base_r3s4i18s2,1
938.5847955873751,25.0,base_r3s4i18s2,1
939.7695174020071,24.0,base_r3s4i18s2,1
939.7695174020071,25.0,base_r3s4i18s2,1
940.4829676659424,24.0,base_r3s4i18s2,1
940.4829676659424,25.0,base_r3s4i18s2,1
941.1650526234926,24.0,base_r3s4i18s2,1
941.1650526234926,25.0,base_r3s4i18s2,1
941.5011039116266,24.0,base_r3s4i18s2,1
941.5011039116266,25.0,base_r3s4i18s2,1
941.9271371051245,24.0,base_r3s4i18s2,1
941.9271371051245,25.0,base_r3s4i18s2,1
942.1124758879597,24.0,base_r3s4i18s2,1
942.1124758879597,25.0,base_r3s4i18s2,1
942.2828828499671,24.0,base_r3s4i18s2,1
942.2828828499671,25.0,base_r3s4i18s2,1
943.1910328478707,24.0,base_r3s4i18s2,1
943.1910328478707,25.0,base_r3s4i18s2,1
943.6083421857203,24.0,base_r3s4i18s2,1
943.6083421857203,25.0,base_r3s4i18s2,1
945.0841050026847,24.0,base_r3s4i18s2,1
945.0841050026847,25.0,base_r3s4i18s2,1
946.4181364758041,24.0,base_r3s4i18s2,1
946.4181364758041,25.0,base_r3s4i18s2,1
946.5334614677303,24.0,base_r3s4i18s2,1
946.5334614677303,25.0,base_r3s4i18s2,1
946.5540228241434,24.0,base_r3s4i18s2,1
946.5540228241434,25.0,base_r3s4i18s2,1
946.6882695161071,24.0,base_r3s4i18s2,1
946.6882695161071,25.0,base_r3s4i18s2,1
946.7687277267719,24.0,base_r3s4i18s2,1
946.7687277267719,25.0,base_r3s4i18s2,1
947.5218092018117,24.0,base_r3s4i18s2,1
947.5218092018117,25.0,base_r3s4i18s2,1
950.0352178238381,24.0,base_r3s4i18s2,1
950.0352178238381,25.0,base_r3s4i18s2,1
951.44702206433,24.0,base_r3s4i18s2,1
951.44702206433,25.0,base_r3s4i18s2,1
951.4492540263223,24.0,base_r3s4i18s2,1
951.4492540263223,25.0,base_r3s4i18s2,1
952.441902192576,24.0,base_r3s4i18s2,1
952.441902192576,25.0,base_r3s4i18s2,1
952.6930605072621,24.0,base_r3s4i18s2,1
952.6930605072621,25.0,base_r3s4i18s2,1
952.7517803935582,24.0,base_r3s4i18s2,1
952.7517803935582,25.0,base_r3s4i18s2,1
952.7742038632541,24.0,base_r3s4i18s2,1
952.7742038632541,25.0,base_r3s4i18s2,1
953.0518462132392,24.0,base_r3s4i18s2,1
953.0518462132392,25.0,base_r3s4i18s2,1
953.2519677318563,24.0,base_r3s4i18s2,1
953.2519677318563,25.0,base_r3s4i18s2,1
954.5145526502317,24.0,base_r3s4i18s2,1
954.5145526502317,25.0,base_r3s4i18s2,1
954.6396222653815,24.0,base_r3s4i18s2,1
954.6396222653815,25.0,base_r3s4i18s2,1
955.4047034071185,24.0,base_r3s4i18s2,1
955.4047034071185,25.0,base_r3s4i18s2,1
955.878248568438,24.0,base_r3s4i18s2,1
955.878248568438,25.0,base_r3s4i18s2,1
956.4270348095233,24.0,base_r3s4i18s2,1
956.4270348095233,25.0,base_r3s4i18s2,1
958.0273644142,24.0,base_r3s4i18s2,1
958.0273644142,25.0,base_r3s4i18s2,1
958.2570864008919,24.0,base_r3s4i18s2,1
958.2570864008919,25.0,base_r3s4i18s2,1
959.1506221001199,24.0,base_r3s4i18s2,1
959.1506221001199,25.0,base_r3s4i18s2,1
959.5886196742014,24.0,base_r3s4i18s2,1
959.5886196742014,25.0,base_r3s4i18s2,1
959.9056730143229,24.0,base_r3s4i18s2,1
959.9056730143229,25.0,base_r3s4i18s2,1
960.1208187081671,24.0,base_r3s4i18s2,1
960.1208187081671,25.0,base_r3s4i18s2,1
960.4032261338381,24.0,base_r3s4i18s2,1
960.4032261338381,25.0,base_r3s4i18s2,1
960.628214599074,24.0,base_r3s4i18s2,1
960.628214599074,25.0,base_r3s4i18s2,1
962.0226615670804,24.0,base_r3s4i18s2,1
962.0226615670804,25.0,base_r3s4i18s2,1
963.6377174854844,24.0,base_r3s4i18s2,1
963.6377174854844,25.0,base_r3s4i18s2,1
965.0800171694647,24.0,base_r3s4i18s2,1
965.0800171694647,25.0,base_r3s4i18s2,1
966.2108315434317,24.0,base_r3s4i18s2,1
966.2108315434317,25.0,base_r3s4i18s2,1
966.3451808828132,24.0,base_r3s4i18s2,1
966.3451808828132,25.0,base_r3s4i18s2,1
966.7288178112707,24.0,base_r3s4i18s2,1
966.7288178112707,25.0,base_r3s4i18s2,1
967.1925713231706,24.0,base_r3s4i18s2,1
967.1925713231706,25.0,base_r3s4i18s2,1
967.3478970264454,24.0,base_r3s4i18s2,1
967.3478970264454,25.0,base_r3s4i18s2,1
967.5492044959872,24.0,base_r3s4i18s2,1
967.5492044959872,25.0,base_r3s4i18s2,1
967.9834133316947,24.0,base_r3s4i18s2,1
967.9834133316947,25.0,base_r3s4i18s2,1
968.2873094969751,24.0,base_r3s4i18s2,1
968.2873094969751,25.0,base_r3s4i18s2,1
968.7704443291168,24.0,base_r3s4i18s2,1
968.7704443291168,25.0,base_r3s4i18s2,1
969.7325673950902,24.0,base_r3s4i18s2,1
969.7325673950902,25.0,base_r3s4i18s2,1
970.3297558583096,24.0,base_r3s4i18s2,1
970.3297558583096,25.0,base_r3s4i18s2,1
970.440018077702,24.0,base_r3s4i18s2,1
970.440018077702,25.0,base_r3s4i18s2,1
971.0184954435687,24.0,base_r3s4i18s2,1
971.0184954435687,25.0,base_r3s4i18s2,1
972.6574485753235,24.0,base_r3s4i18s2,1
972.6574485753235,25.0,base_r3s4i18s2,1
973.4555003778581,24.0,base_r3s4i18s2,1
973.4555003778581,25.0,base_r3s4i18s2,1
973.6075605780085,24.0,base_r3s4i18s2,1
973.6075605780085,25.0,base_r3s4i18s2,1
973.6812357618577,24.0,base_r3s4i18s2,1
973.6812357618577,25.0,base_r3s4i18s2,1
974.3423525651025,24.0,base_r3s4i18s2,1
974.3423525651025,25.0,base_r3s4i18s2,1
975.0595614158773,24.0,base_r3s4i18s2,1
975.0595614158773,25.0,base_r3s4i18s2,1
975.4731543716853,24.0,base_r3s4i18s2,1
975.4731543716853,25.0,base_r3s4i18s2,1
975.9747586897128,24.0,base_r3s4i18s2,1
975.9747586897128,25.0,base_r3s4i18s2,1
976.1588147306927,24.0,base_r3s4i18s2,1
976.1588147306927,25.0,base_r3s4i18s2,1
